candidate_id,full_name,email,phone,department,applied_date,application_month,application_year,offer_date,accepted,joined_date,hiring_duration_days,offer_acceptance_flag,joined_flag
C0001,Aisha Adams,aisha.adams1@example.com,+1-555-100-1000,Data Analytics,2025-01-06,1,2025,2025-01-26,True,2025-02-03,28.0,1,1
C0002,Ben Davis,ben.davis2@example.com,+1-555-100-1001,Engineering,2025-01-08,1,2025,2025-01-29,True,2025-02-06,29.0,1,1
C0003,Carla Green,carla.green3@example.com,+1-555-100-1002,Finance,2025-01-10,1,2025,2025-02-01,True,2025-02-09,30.0,1,1
C0004,Dinesh Jones,dinesh.jones4@example.com,+1-555-100-1003,Human Resources,2025-01-12,1,2025,2025-02-04,True,2025-02-12,31.0,1,1
C0005,Elena Chen,elena.chen5@example.com,+1-555-100-1004,Marketing,2025-01-14,1,2025,2025-02-07,True,2025-02-15,32.0,1,1
C0006,Fatima Foster,fatima.foster6@example.com,+1-555-100-1005,Operations,2025-01-16,1,2025,2025-02-05,False,,,0,0
C0007,Grace Ibrahim,grace.ibrahim7@example.com,+1-555-100-1006,Product,2025-01-18,1,2025,2025-02-08,False,,,0,0
C0008,Hugo Bennett,hugo.bennett8@example.com,+1-555-100-1007,Sales,2025-01-20,1,2025,,,,,0,0
C0009,Iris Evans,iris.evans9@example.com,+1-555-100-1008,Data Analytics,2025-01-22,1,2025,,,,,0,0
C0010,Jonah Harris,jonah.harris10@example.com,+1-555-100-1009,Engineering,2025-01-24,1,2025,,,,,0,0
C0011,Aisha Adams,aisha.adams11@example.com,+1-555-100-1010,Finance,2025-01-27,1,2025,2025-02-16,True,2025-02-28,32.0,1,1
C0012,Ben Davis,ben.davis12@example.com,+1-555-100-1011,Human Resources,2025-01-29,1,2025,2025-02-19,True,2025-03-03,33.0,1,1
C0013,Carla Green,carla.green13@example.com,+1-555-100-1012,Marketing,2025-01-31,1,2025,2025-02-22,True,2025-02-28,28.0,1,1
C0014,Dinesh Jones,dinesh.jones14@example.com,+1-555-100-1013,Operations,2025-02-02,2,2025,2025-02-25,True,2025-03-03,29.0,1,1
C0015,Elena Chen,elena.chen15@example.com,+1-555-100-1014,Product,2025-02-04,2,2025,2025-02-28,True,2025-03-06,30.0,1,1
C0016,Fatima Foster,fatima.foster16@example.com,+1-555-100-1015,Sales,2025-02-06,2,2025,2025-02-26,False,,,0,0
C0017,Grace Ibrahim,grace.ibrahim17@example.com,+1-555-100-1016,Data Analytics,2025-02-08,2,2025,2025-03-01,False,,,0,0
C0018,Hugo Bennett,hugo.bennett18@example.com,+1-555-100-1017,Engineering,2025-02-10,2,2025,,,,,0,0
C0019,Iris Evans,iris.evans19@example.com,+1-555-100-1018,Finance,2025-02-12,2,2025,,,,,0,0
C0020,Jonah Harris,jonah.harris20@example.com,+1-555-100-1019,Human Resources,2025-02-14,2,2025,,,,,0,0
C0021,Aisha Adams,aisha.adams21@example.com,+1-555-100-1020,Marketing,2025-02-17,2,2025,2025-03-09,True,2025-03-19,30.0,1,1
C0022,Ben Davis,ben.davis22@example.com,+1-555-100-1021,Operations,2025-02-19,2,2025,2025-03-12,True,2025-03-22,31.0,1,1
C0023,Carla Green,carla.green23@example.com,+1-555-100-1022,Product,2025-02-21,2,2025,2025-03-15,True,2025-03-25,32.0,1,1
C0024,Dinesh Jones,dinesh.jones24@example.com,+1-555-100-1023,Sales,2025-02-23,2,2025,2025-03-18,True,2025-03-28,33.0,1,1
C0025,Elena Chen,elena.chen25@example.com,+1-555-100-1024,Data Analytics,2025-02-25,2,2025,2025-03-21,True,2025-03-25,28.0,1,1
C0026,Fatima Foster,fatima.foster26@example.com,+1-555-100-1025,Engineering,2025-02-27,2,2025,2025-03-19,False,,,0,0
C0027,Grace Ibrahim,grace.ibrahim27@example.com,+1-555-100-1026,Finance,2025-03-01,3,2025,2025-03-22,False,,,0,0
C0028,Hugo Bennett,hugo.bennett28@example.com,+1-555-100-1027,Human Resources,2025-03-03,3,2025,,,,,0,0
C0029,Iris Evans,iris.evans29@example.com,+1-555-100-1028,Marketing,2025-03-05,3,2025,,,,,0,0
C0030,Jonah Harris,jonah.harris30@example.com,+1-555-100-1029,Operations,2025-03-07,3,2025,,,,,0,0
